,raw_tweet_count,raw_referenced_tweet_count,raw_possibly_sensitive_count,raw_retweet_count,raw_reply_count,raw_like_count,raw_quote_count,raw_reference_to_tweets_ratio,raw_sensitive_to_tweets_ratio,raw_retweet_to_tweets_ratio,raw_reply_to_tweets_ratio,raw_like_to_tweets_ratio,raw_quote_to_tweets_ratio
Gestionpe,6848,14.0,,9944,8078,35932,1381,0.0020443925233644858,,1.4521028037383177,1.1796144859813085,5.247079439252336,0.20166471962616822
peru21noticias,6719,221.0,1.0,49724,34805,157095,5095,0.03289179937490698,0.0001488316713796696,7.400506027682691,5.1800863223694,23.380711415389193,0.7582973656794166
tromepe,6200,1.0,1.0,7030,14674,42149,1272,0.00016129032258064516,0.00016129032258064516,1.1338709677419354,2.366774193548387,6.798225806451613,0.20516129032258065
larepublica_pe,6020,3497.0,,100058,19517,104857,4260,0.5808970099667774,,16.62093023255814,3.24202657807309,17.41810631229236,0.707641196013289
diarioojo,4486,,2.0,2549,6846,18998,549,,0.00044583147570218456,0.5682122157824342,1.5260811413285778,4.2349531876950515,0.12238074008024967
diariocorreo,4292,3.0,1.0,12774,11432,37777,1697,0.0006989748369058714,0.00023299161230195712,2.9762348555452003,2.6635601118359737,8.801724137931034,0.39538676607642126
elcomercio_peru,3762,226.0,2.0,15634,6467,29556,1221,0.06007442849548113,0.000531632110579479,4.155768208399787,1.7190324295587454,7.856459330143541,0.32456140350877194
ExpresoPeru,2128,,,68581,63723,214814,7309,,,32.22791353383459,29.945018796992482,100.94642857142857,3.4346804511278197
DiarioElPeruano,1894,54.0,,9049,4003,20848,691,0.028511087645195353,,4.777719112988384,2.1135163674762407,11.00739176346357,0.3648363252375924
larazon_pe,751,,,2093,352,3880,113,,,2.7869507323568574,0.46870838881491345,5.166444740346205,0.15046604527296936
elbuho_pe,677,288.0,,3521,261,2616,87,0.4254062038404727,,5.2008862629246675,0.38552437223042835,3.86410635155096,0.12850812407680945
ensustrece,106,20.0,,13795,3273,29675,650,0.18867924528301888,,130.14150943396226,30.87735849056604,279.95283018867923,6.132075471698113
